[26452:18396:0617/192354.773:INFO:components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc:202] No machine level policy manager exists.
[26452:18396:0617/192354.800:WARNING:chrome\browser\extensions\extension_service.cc:403] --load-extension is not allowed in Google Chrome, ignoring.
[26452:18396:0617/192354.968:INFO:CONSOLE:1] "%c Cyberghost VPN color:#008ACD; font-size: 32px", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192354.971:INFO:CONSOLE:1] "-- connection disabled", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.018:INFO:CONSOLE:1] "reset fallbackErrorCounter (undefined=>0)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.021:INFO:CONSOLE:1] "reset retry (undefined=>10)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.021:INFO:CONSOLE:1] "reset fallbackErrorCounter (0=>0)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.021:INFO:CONSOLE:1] "reset retry (10=>10)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "path disabled", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "icon [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "chrome chrome chrome [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "path disabled", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "icon [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.028:INFO:CONSOLE:1] "chrome chrome chrome [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.150:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.150:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.595:INFO:CONSOLE:1] "reset fallbackErrorCounter (0=>0)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.597:INFO:CONSOLE:1] "reset retry (10=>10)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.597:INFO:CONSOLE:1] "reset fallbackErrorCounter (0=>0)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.597:INFO:CONSOLE:1] "reset retry (10=>10)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.597:INFO:CONSOLE:1] "reset fallbackErrorCounter (0=>0)", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
